country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Equatorial Guinea;0.165;0.321;0.521;0.844;1.15;1.28;1.56;1.82;2.13;6;11.5;13.9;16.4;18.9;;;;;;
Greece;10.9;14.7;17.8;21.4;24;32.3;35.9;38.2;42.4;44.4;51.6;55.1;59.9;63.2;66.8;69.1;69.9;72.2;75.7;
Grenada;5.13;14.8;18.6;19.6;20.5;21.4;22.3;23.2;24.1;27;30;32;35;51.6;53.8;55.9;59.1;;;
Greenland;35.5;44.2;54.5;56.1;57.7;59.4;61.1;62.8;62.8;63;64;64.9;65.8;66.7;67.6;68.5;69.5;;;
Guatemala;1.74;3.39;4.55;5.1;5.7;6.5;7.3;8.3;9.3;10.5;12.3;16;19.7;23.4;28.8;34.5;40.7;;44.4;
Guam;25.4;31.2;33.7;36.2;38.6;43.9;46.2;48.4;50.6;54;57.7;61.5;65.4;69.3;73.1;77;80.5;;;
Guyana;13.2;;;;;;13.8;18.2;23.9;29.9;30;30.5;31;32;34;35.7;37.3;;;
Hong Kong;27.8;38.7;43.1;52.2;56.4;56.9;60.8;64.8;66.7;69.4;72;72.2;72.9;74.2;79.9;84.9;87.5;89.4;90.5;92.4
Honduras;1.42;2.6;4.8;5.6;6.5;7.8;9.4;9.6;9.8;11.1;15.9;18.1;17.8;19.1;27.1;29.5;32.1;;;
Croatia;11.6;17.8;22.8;30.9;33.1;38;41.4;44.2;50.6;56.5;57.8;61.9;66.7;68.6;69.8;72.7;67.1;75.3;79.1;
Haiti;0.341;0.893;1.65;5.4;6.38;6.8;7.2;7.6;8.1;8.37;9;9.8;10.6;11.4;12.2;12.2;31;32.5;32.5;
Hungary;14.5;16.7;21.6;27.7;39;47.1;53.3;61;62;65;68;70.6;72.6;75.7;72.8;79.3;76.8;76.1;80.4;
Indonesia;2.02;2.13;2.39;2.6;3.6;4.76;5.79;7.92;6.92;10.9;12.3;14.5;14.9;17.1;22.1;25.4;32.3;39.9;47.7;
