country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
North Macedonia;2800;2760;3110;3140;3370;3450;3620;3680;3420;3570;3880;3680;3550;3500;;;;;
Malta;4290;4500;4870;4800;4910;4900;4870;4840;4430;4770;4870;5000;4920;4920;;;;;
Myanmar;68.4;73;79.9;80.5;74.9;88.3;89.5;94.2;99.4;124;154;156;185;215;;;;;
Montenegro;;;;;6310;6450;6560;6290;5010;5420;5740;5420;4570;4610;;;;;
Mongolia;1070;1100;1140;1200;1250;1300;1330;1420;1380;1490;1500;1590;1890;2010;;;;;
Mozambique;277;266;374;449;451;459;460;443;444;453;454;460;451;479;;;;;
Mauritius;1450;1470;1560;1610;1680;1740;1820;1880;1910;2000;2030;2080;2150;2180;;;;;
Malaysia;2760;2820;2910;2980;2870;3070;3270;3290;3940;4150;4100;4340;4520;4650;;;;;
Namibia;1090;1130;1170;1450;1520;1610;1610;1640;1580;1590;1610;1660;1690;1650;;;;;
Niger;30.8;30.4;29.8;33.5;36.7;34.9;39.1;39.2;42.6;44.2;47.4;49.3;48.3;51.2;;;;;
Nigeria;75.6;105;102;124;129;112;139;127;121;136;150;157;143;145;;;;;
Nicaragua;344;352;367;393;412;425;458;472;477;507;528;569;587;568;;;;;
Netherlands;6600;6640;6700;6880;6910;7030;7160;7170;6860;7010;7060;6880;6830;6710;;;;;
Curaçao;7220;7280;7520;7570;7610;7240;7320;7150;7420;7470;7380;5060;4930;4800;;;;;
Norway;25.6k;24.6k;23.2k;24.2k;25.1k;24.1k;24.9k;24.9k;23.9k;24.9k;23.5k;24.1k;23.8k;23k;;;;;
Nepal;64.5;67.5;70.5;74.4;77.1;83.8;87.6;83.5;96.9;103;116;121;137;146;;;;;
New Zealand;9420;9530;9410;9670;9670;9700;9640;9560;9400;9600;9460;9360;9090;9010;;;;;
Oman;3440;3520;3550;3830;3920;4210;4390;4790;5250;5520;5850;6180;6210;6450;;;;;
Pakistan;367;372;395;413;445;466;460;422;437;442;433;428;458;448;;;;;
Panama;1290;1320;1360;1420;1460;1480;1570;1630;1640;1750;1820;1960;2020;2060;;;;;
