country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Czech Republic;6.95M;8.61M;9.71M;10.8M;11.8M;12.4M;13.2M;13.8M;13.1M;12.9M;13.2M;13.5M;13.7M;13.9M;12.5M;12.5M;12.6M;12.7M;13.1M;
Germany;56.1M;59.1M;64.8M;71.3M;79.3M;85.7M;96.2M;106M;105M;88.4M;90.9M;92.4M;100M;99.5M;96.4M;103M;110M;108M;107M;
Djibouti;3000;15k;23k;34.5k;44.1k;44.8k;69.5k;113k;129k;166k;193k;212k;244k;287k;314k;345k;373k;395k;414k;
Dominica;7710;12.2k;23.8k;41.8k;52k;71.5k;89k;91k;98.5k;106k;109k;109k;93.6k;73.9k;77.3k;78.4k;75.2k;75.8k;;
Denmark;3.96M;4.48M;4.77M;5.17M;5.45M;5.83M;6.31M;6.56M;6.83M;6.42M;7.17M;7.29M;7.03M;7.16M;7.08M;6.99M;7.14M;7.22M;7.24M;
Dominican Republic;1.27M;1.7M;2.09M;2.53M;3.62M;4.61M;5.51M;7.21M;8.63M;8.89M;8.77M;8.93M;9.2M;8.3M;8.8M;8.71M;8.77M;8.94M;8.95M;
Algeria;100k;450k;1.45M;4.88M;13.7M;21M;27.6M;27M;32.7M;32.8M;35.6M;37.5M;39.5M;43.3M;43.2M;47M;45.8M;47.2M;45.4M;
Ecuador;859k;1.56M;2.4M;3.54M;6.25M;8.49M;9.94M;11.7M;13.2M;14.8M;15.3M;16.5M;16.6M;16.6M;12.9M;13.9M;14.7M;15.8M;15.9M;
Egypt;2.79M;4.49M;5.8M;7.64M;13.6M;18M;30.1M;41.3M;55.4M;70.7M;83.4M;96.8M;99.7M;95.3M;94M;97.8M;103M;93.8M;95.3M;
Eritrea;0;0;0;20k;40.4k;62k;84.3k;109k;141k;185k;242k;305k;355k;417k;475k;506k;695k;;;
Spain;29.7M;33.5M;37.2M;38.6M;42.7M;45.7M;48.4M;49.6M;51.1M;51.4M;52.6M;50.7M;50.2M;50.8M;51.1M;51.5M;52.5M;54.2M;55.4M;
Estonia;651k;881k;1.05M;1.26M;1.45M;1.66M;1.68M;1.62M;1.57M;1.65M;1.81M;2M;1.93M;1.9M;1.9M;1.9M;1.9M;1.92M;1.95M;
Ethiopia;27.5k;50.4k;51.3k;156k;411k;867k;1.21M;1.95M;4.05M;6.85M;14.1M;20.5M;25.6M;30.5M;42.3M;51.2M;39.6M;;;
Finland;4.18M;4.52M;4.75M;4.99M;5.27M;5.67M;6.08M;6.83M;7.7M;8.39M;8.94M;9.32M;7.41M;7.6M;7.4M;7.22M;7.16M;7.15M;7.15M;
Fiji;80.9k;89.9k;110k;142k;205k;285k;530k;600k;640k;698k;727k;859k;930k;876k;966k;1.04M;1.03M;;;
France;37M;38.6M;41.7M;44.5M;48.1M;51.7M;55.4M;58M;57.9M;57.8M;59.8M;62.3M;63.3M;65.4M;66.7M;67.6M;69M;70.4M;72M;
Faeroe Islands;24.5k;34.7k;38k;41.3k;42k;50k;52.2k;54.9k;57k;59.4k;58.5k;58.7k;57.8k;58.3k;53.2k;54.5k;56.6k;56.8k;55k;
Micronesia;0;0;100;5870;12.8k;14.1k;18.6k;27.4k;27.5k;27.5k;27.5k;27.6k;31.2k;31.4k;;22.5k;23.4k;23.1k;;
Gabon;150k;279k;300k;489k;737k;898k;1.17M;1.3M;1.45M;1.61M;2.37M;2.56M;2.75M;2.93M;2.82M;2.96M;2.66M;2.93M;2.99M;
United Kingdom;46.3M;49.2M;54.3M;59.7M;65.5M;70.1M;73.8M;74.9M;76.5M;76.7M;77.2M;78.3M;78.7M;78.5M;79.3M;78.9M;79.1M;78.9M;79.8M;
Georgia;301k;504k;711k;841k;1.17M;1.7M;2.6M;2.76M;2.84M;3.98M;4.43M;4.7M;4.99M;5.4M;5.55M;5.53M;5.5M;5.46M;5.38M;
Ghana;244k;387k;796k;1.7M;2.87M;5.21M;7.6M;11.6M;15.1M;17.4M;21.2M;25.6M;28M;30.4M;35M;38.3M;36.8M;40.9M;40.9M;
Gibraltar;9800;12.2k;15.9k;18.4k;20k;22k;24k;26k;28.6k;30k;32.5k;34.8k;;38k;41.4k;41.1k;41k;41k;40.5k;
